[DEBUG] 2016-07-20 13:06:18,533 views number shifts: 1
[DEBUG] 2016-07-20 13:06:19,179 views Starting day: 2016-08-29
[DEBUG] 2016-07-20 13:06:19,180 views Ending day: 2016-09-04
[DEBUG] 2016-07-20 13:06:19,180 views amount: 1
[DEBUG] 2016-07-22 14:28:28,573 views number shifts: 1
[DEBUG] 2016-07-22 14:28:29,153 views Starting day: 2016-08-29
[DEBUG] 2016-07-22 14:28:29,153 views Ending day: 2016-09-04
[DEBUG] 2016-07-22 14:28:29,153 views amount: 1
[DEBUG] 2016-07-22 14:30:18,832 views number shifts: 1
[DEBUG] 2016-07-22 14:30:18,842 views Starting day: 2016-09-05
[DEBUG] 2016-07-22 14:30:18,843 views Ending day: 2016-09-11
[DEBUG] 2016-07-22 14:30:18,843 views amount: 1
[DEBUG] 2016-08-03 14:19:11,137 views number shifts: 1
[DEBUG] 2016-08-03 14:19:11,198 views Starting day: 2016-07-25
[DEBUG] 2016-08-03 14:19:11,198 views Ending day: 2016-07-31
[DEBUG] 2016-08-03 14:19:11,198 views amount: 1
[DEBUG] 2016-08-03 14:26:40,421 views number shifts: 0
[DEBUG] 2016-08-03 14:26:40,444 views Starting day: 2016-07-25
[DEBUG] 2016-08-03 14:26:40,444 views Ending day: 2016-07-31
[DEBUG] 2016-08-03 14:26:40,444 views amount: 0
[DEBUG] 2016-08-12 14:29:22,260 views number shifts: 2
[DEBUG] 2016-08-12 14:29:22,292 views Starting day: 2016-06-20
[DEBUG] 2016-08-12 14:29:22,292 views Ending day: 2016-06-26
[DEBUG] 2016-08-12 14:29:22,292 views amount: 2
[DEBUG] 2016-08-12 14:30:45,765 views number shifts: 2
[DEBUG] 2016-08-12 14:30:45,772 views Starting day: 2016-06-20
[DEBUG] 2016-08-12 14:30:45,772 views Ending day: 2016-06-26
[DEBUG] 2016-08-12 14:30:45,772 views amount: 2
[DEBUG] 2016-08-12 18:09:23,475 views number shifts: 2
[DEBUG] 2016-08-12 18:09:23,488 views Starting day: 2016-06-20
[DEBUG] 2016-08-12 18:09:23,488 views Ending day: 2016-06-26
[DEBUG] 2016-08-12 18:09:23,489 views amount: 2
[DEBUG] 2016-08-12 18:10:33,575 views number shifts: 2
[DEBUG] 2016-08-12 18:10:33,608 views Starting day: 2016-06-20
[DEBUG] 2016-08-12 18:10:33,609 views Ending day: 2016-06-26
[DEBUG] 2016-08-12 18:10:33,609 views amount: 2
[DEBUG] 2016-08-12 18:11:42,562 views number shifts: 2
[DEBUG] 2016-08-12 18:11:42,570 views Starting day: 2016-06-20
[DEBUG] 2016-08-12 18:11:42,570 views Ending day: 2016-06-26
[DEBUG] 2016-08-12 18:11:42,571 views amount: 2
[DEBUG] 2016-08-12 18:28:45,107 views number shifts: 2
[DEBUG] 2016-08-12 18:28:45,115 views Starting day: 2016-06-20
[DEBUG] 2016-08-12 18:28:45,115 views Ending day: 2016-06-26
[DEBUG] 2016-08-12 18:28:45,115 views amount: 2
[DEBUG] 2016-08-12 18:29:53,916 views number shifts: 2
[DEBUG] 2016-08-12 18:29:53,953 views Starting day: 2016-06-20
[DEBUG] 2016-08-12 18:29:53,954 views Ending day: 2016-06-26
[DEBUG] 2016-08-12 18:29:53,955 views amount: 2
[DEBUG] 2016-08-12 18:30:48,861 views number shifts: 2
[DEBUG] 2016-08-12 18:30:48,905 views Starting day: 2016-06-20
[DEBUG] 2016-08-12 18:30:48,906 views Ending day: 2016-06-26
[DEBUG] 2016-08-12 18:30:48,906 views amount: 2
[DEBUG] 2016-08-12 18:32:01,604 views number shifts: 2
[DEBUG] 2016-08-12 18:32:01,612 views Starting day: 2016-06-20
[DEBUG] 2016-08-12 18:32:01,612 views Ending day: 2016-06-26
[DEBUG] 2016-08-12 18:32:01,612 views amount: 2
[DEBUG] 2016-08-12 18:33:48,793 views number shifts: 2
[DEBUG] 2016-08-12 18:33:48,830 views Starting day: 2016-06-20
[DEBUG] 2016-08-12 18:33:48,830 views Ending day: 2016-06-26
[DEBUG] 2016-08-12 18:33:48,831 views amount: 2
[DEBUG] 2016-08-12 18:35:45,369 views number shifts: 2
[DEBUG] 2016-08-12 18:35:45,408 views Starting day: 2016-06-20
[DEBUG] 2016-08-12 18:35:45,409 views Ending day: 2016-06-26
[DEBUG] 2016-08-12 18:35:45,409 views amount: 2
[DEBUG] 2016-08-12 18:38:18,569 views number shifts: 2
[DEBUG] 2016-08-12 18:38:18,604 views Starting day: 2016-06-20
[DEBUG] 2016-08-12 18:38:18,604 views Ending day: 2016-06-26
[DEBUG] 2016-08-12 18:38:18,605 views amount: 2
[DEBUG] 2016-08-12 18:42:11,261 views number shifts: 2
[DEBUG] 2016-08-12 18:42:11,298 views Starting day: 2016-06-20
[DEBUG] 2016-08-12 18:42:11,298 views Ending day: 2016-06-26
[DEBUG] 2016-08-12 18:42:11,299 views amount: 2
[DEBUG] 2016-08-12 18:42:51,513 views number shifts: 2
[DEBUG] 2016-08-12 18:42:51,521 views Starting day: 2016-06-20
[DEBUG] 2016-08-12 18:42:51,522 views Ending day: 2016-06-26
[DEBUG] 2016-08-12 18:42:51,522 views amount: 2
[DEBUG] 2016-08-12 19:25:39,580 views number shifts: 2
[DEBUG] 2016-08-12 19:25:39,589 views Starting day: 2016-06-20
[DEBUG] 2016-08-12 19:25:39,590 views Ending day: 2016-06-26
[DEBUG] 2016-08-12 19:25:39,590 views amount: 2
